Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cameroon,CMR,,,,0.22743718,0.354689012,0.072654063,0.260027943,0.130584861,0.155759415,-0.037210203,-0.12217522,-0.004819195,0.058594833,0.07074363,0.129653968,0.129483606,0.147899639,0.093851192,0.229233094,0.234117563,0.135367378,0.173041863,0.290070306,0.142645407,0.123359092,0.08724981,0.10649575,0.621967046,-1.280136197,0.346865157,0.101251198,-0.479947402,-1.145291151,0.043796028,-0.050087064,-0.076216802,-0.027442386,-0.03449864,-0.008387977,-0.253937966,1.914378659,0.636907534,-0.97005068,-0.486944702,-0.033687732,0.18047203,-0.119239001,0.062507204,0.278950807,0.322781439,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,0.008246522,1.72E-07,0.00355001,0.335237734,0.282209962,-0.019671013,-0.022613612,-0.009429986,0.012099719,0.251954226,0.262169367,0.073469743,0.111998138,0.127318878,0.085439079,0.273390892,0.186611451,0.033386319,0.351689544,1.434967412,1.226029361,0.956865126,1.339163568,0.733365867,0.768622469,0.44677621,0.252670696,
"Congo, Rep.",COG,,,,,,,,,0,0,0,0.121092805,0.138570017,0.164165461,0.171090075,0.069925457,-0.003623055,0.003481661,0.013965872,-0.017534367,0.135524979,0.048039278,0.041183371,0.058833644,-0.051543903,-0.501798876,-0.414941885,-5.37626344,-10.80175683,-24.94459265,-8.073413594,-7.390936068,-4.21280658,-2.90714084,2.178676453,4.321964962,0,-0.515316455,-0.787637338,-0.920912088,4.504800133,0.637666645,1.245949168,7.140832004,7.02495447,4.594664542,11.58089471,0.401240366,0.100713621,0.184601873,
Colombia,COL,0.055568209,0.038475619,0.012520644,0.011556395,0.04861104,0.030537536,0.071701392,0.112988776,0.176241662,0.085897089,0.31735828,0.101680848,0.074419961,0.269247294,0.060125813,0.020060519,0.09157905,0.07148099,0.112208974,0.073343301,0.033441956,0.049414785,0.085588614,0.361191183,0.182320694,0.276951607,0.337512256,0.758878448,0.808581869,0.13405404,0.325715964,0.016412956,0.874582646,0.990779259,0.164371869,3.293190965,0.78440917,0.6202275,1.273860692,1.508042402,1.91324657,2.513801914,-0.16343145,2.002554263,1.023045659,1.43713756,1.597225055,1.18299344,1.536809147,0.9946229,
Comoros,COM,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.256476038,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Cabo Verde,CPV,,,,,,,,,,,0,0,0,0,0,0,0,0,0.069613509,0.287699102,0.103201223,0.170327786,0.337048675,0.135437312,0.102116734,0.117791532,0.052485351,0.010150223,-0.430355515,0.070249677,0.258907947,0.074693862,-0.004812449,0.104149123,0,0.00084274,-0.022364192,0.023187135,-0.158278639,0.110788274,0.002511541,0.075503386,0.634887585,1.771024265,0.669351933,-0.99684856,0.470732045,0.897506206,0.772998466,1.266052304,
Costa Rica,CRI,,,,,,,-0.041449825,0,0.045413147,0.027257954,0.093139798,0.129582698,0.092073215,0.171604529,0.106543507,0.119922312,0.081466692,0.099273055,0.019503189,0.114263389,0.036766716,0.078114106,0.051591157,0.024115846,0.045051006,0.047770122,0.048974519,0.045251495,0.045823708,0.035247357,0.718348239,0.429981655,0.801808992,0.885598935,1.114228572,0.749929166,0.968656102,1.606424623,0.642230574,0.897497635,0.852497186,0.958414912,1.922746235,1.616107091,0.839124453,0.756193879,0.863222177,0.466492714,0.959067531,0.038653574,
Caribbean small states,CSS,,,,,,,0.010994078,0.003009268,-0.004741864,0.001942199,0.924627686,-0.26656569,-0.489604148,-0.229725807,0.118119831,0.304048148,1.097290359,0.16675536,-1.08032923,0.027585311,0.234519752,0.23222343,0.29221986,0.373298169,0.01730894,0.177302342,0.311140685,-0.013206539,0.150123774,1.01406554,0.667622414,0.935341992,0.579557517,1.069117011,0.637193016,1.507755401,1.488629593,1.019305039,1.785133055,0.62225134,0.804407004,1.923573178,0.6987461,0.63613696,3.500159284,0.851476102,1.026256983,0.199234422,0.303134841,1.126289256,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.943140868,0.368710905,-0.506901294,1.388155131,0.591110796,1.208109925,-4.661274199,0.985794436,-0.354341625,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2749109,137.6693882,215.2226231,116.0176145,258.7394939,179.8617141,45.52576622,454.2512209,512.5107716,1602.534711,-0.837259852,-0.428556907,25.85448235,,
Cyprus,CYP,,,,,,,0,0,0,0,0,0,0,0,0,0.006717024,0,0.061715467,0.015025483,0.017720975,0.081993313,0.253746104,0.212399808,0.186086535,0.082082383,0.157990194,0.351277758,0.292373949,0.690191799,1.739191007,1.723359187,2.396058665,4.798974482,4.053535124,4.109101143,2.970803731,4.472656006,5.267824469,51.60527368,237.5631869,123.244573,171.8569561,301.2497093,124.8967316,285.2429239,222.982857,30.64888961,50.32252783,-46.98286957,80.26508992,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,0.220033419,0.243097109,0.060874577,0.229561294,0.044480265,0.187630914,0.138065126,0.069027414,0.242855888,0.257185963,0.207791758,2.072521214,1.532204192,1.976997237,2.551173534,2.769130729,1.600550376,2.510819309,0.695315516,1.55731538,3.655212,1.946050194,1.981645663,1.599413632,4.299646624,2.442631755,2.664324169,
Germany,DEU,,0.480137351,0.601915913,0.492889822,0.476579009,0.444572102,0.501965813,0.400844286,0.532088748,0.569075956,0.437875859,0.470548952,0.351215762,0.381923221,0.651853054,0.750246407,0.898212214,0.636360448,0.853535012,0.953281267,1.356735685,1.246523906,0.895740514,0.851667276,0.900484415,1.53991896,2.425379798,2.239116969,4.332506142,6.353194197,5.052226218,3.613076496,0.83160204,1.57447171,0.322857647,3.124789305,4.945374608,4.111198356,2.627987585,2.935372835,4.317660088,2.88185837,2.808975665,2.499323012,2.767933751,3.898903231,3.224281538,4.356157822,4.477559758,3.494854444,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.336415247,-2.12869884,0.152065412,0.007685884,-0.006238058,0.007207253,
Denmark,DNK,0.169834394,0.272454848,0.637041923,0.318900103,0.023418899,0.19471984,0.142545595,0.323934412,0.055034339,0.23784558,0.275070808,0.224300253,0.135270859,0.247540447,0.488728292,0.489057287,0.743032684,0.565391254,0.623512728,1.837749414,1.072161345,1.330215145,1.462277876,0.958825285,2.665034048,1.60462679,1.337969008,2.509427124,2.381237484,10.01268203,17.28888661,7.981929987,1.483284106,0.392622111,-3.950277214,6.416067743,2.827820828,5.426097414,5.305024166,1.917970374,-0.17820965,3.814787369,-3.343596399,2.039771851,2.810139852,2.397752162,5.746000434,2.843505521,1.822433428,0.064606306,
Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0.00013311,0.000330631,0.000350775,0.000303668,-0.000388132,-0.039686056,-0.000441018,0,0.001544383,-0.07130094,0,0,0,0.010702511,0.008865105,0.018676185,0.206669427,-0.059446769,-0.142576824,0.032072131,0.148528396,0.03437263,0.033901417,0.016539608,0.113966264,-0.012018703,1.17239051,1.331728434,-0.294248763,-0.974077776,-0.377830183,-0.136481717,0.450713698,-0.623143772,0.2631739,0.031476224,0.144508823,0.03400086,0.244519988,-0.21171267,
Algeria,DZA,0.041122754,0.019695809,0.029577983,0.01147433,,0.21853801,0.016922051,0.026447298,0.000956398,0.046839954,0.079385649,0.032915297,0.025048216,0.029952931,0.027279658,0.004119464,-0.008346683,0.022552947,0.008297614,0.014647673,0.00755709,0.110006668,2.08E-06,2.00E-06,2.35E-06,2.39E-06,2.13E-06,2.08E-06,0.002075216,0.015624814,0.025004456,0.016987938,0.173660273,0.041730617,0.297052436,0.053295477,0.067505604,0.10900722,0.18586981,0.156278116,0.136038374,0.26661973,-0.01982677,-0.129574053,-0.008683676,0.060784677,0.02908899,-0.005034242,0.501842333,0.048396278,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,0.091146341,0.082992472,0.089519052,0.187293427,0.140688746,0.228989765,0.212732788,0.195863891,0.1548039,0.178218077,0.640940214,0.738206439,0.543957295,0.489100356,0.504689082,0.471365183,0.393963501,0.410457229,0.346907759,0.589991455,0.425135658,0.51188161,0.52558247,0.684385482,0.985405594,0.867991655,1.39161468,0.955070116,1.14481564,0.906283422,1.025641906,0.981326613,1.283977746,1.550819119,1.711668663,1.11053071,1.076507566,0.715821023,
